DR_Dat,DR_Tim,DR_NChk,DR_NDoc,DR_Apt,DR_Kkm,DR_TDoc,DR_TPay,DR_CDrugs,DR_NDrugs,DR_Suppl,DR_Prod,DR_Kol,DR_CZak,DR_CRoz,DR_SDisc,DR_CDisc,DR_BCDisc,DR_TabEmpl,DR_VZak,DR_Pos
2022-08-11,10:15:35,2173,2004598,2,022577,Розничная реализация,18,45399,ЦИПРОЛЕТ 3МГ/МЛ. 5МЛ. №1 ГЛ.КАПЛИ ФЛ./КАП. /Д-Р РЕДДИ/,Катрен г.Химки,Д-р Редди с Лабораторис Лтд / Dr.REDDY's,1.0,41.08,51.0,12.0,925.0,200000000492.0,205,1,1.0
2022-08-11,10:27:46,2174,2004598,2,022577,Розничная реализация,15,261519,ПЕРЕКИСЬ ВОДОРОДА 3% 100МЛ. №40 Р-Р ФЛ.,Катрен г.Химки,ФЛОРА КАВКАЗА ОАО,1.0,18.61,31.0,3.0,9.0,200010010204.0,205,1,1.0
2022-08-11,10:27:46,2174,2004598,2,022577,Розничная реализация,15,460864,СОФЬЯ ГЕЛЬ Д/НОГ ВЕНОТОНИЗ. ТРОКСЕРУТИН ФОРТЕ 125МЛ.,Катрен г.Химки,КОРОЛЕВФАРМ ООО,1.0,132.69,209.0,20.0,9.0,200010010204.0,205,1,2.0
2022-08-11,10:27:46,2174,2004598,2,022577,Розничная реализация,15,172823,СОФЬЯ ГХК КРЕМ Д/ТЕЛА ХОНДРОИТИН+ГЛЮКОЗАМИН 125МЛ. ТУБА,Катрен г.Химки,КОРОЛЕВФАРМ ООО,1.0,133.65,210.0,21.0,9.0,200010010204.0,205,1,3.0
2022-08-11,10:33:56,2175,2004598,2,022577,Розничная реализация,18,79056,ГАЛВУС 50МГ. №28 ТАБ. /НОВАРТИС/,Катрен г.Химки,Новартис Фарма АГ,1.0,709.95,787.0,49.0,925.0,200000000492.0,205,1,1.0
2022-08-11,10:40:38,2176,2004598,2,022577,Розничная реализация,18,187304,БИСОПРОЛОЛ 5МГ. №60 ТАБ. П/П/О /ВЕРТЕКС/,Пульс,ВЕРТЕКС,1.0,152.9,182.0,9.0,9.0,200010001947.0,205,1,1.0
2022-08-11,10:40:38,2176,2004598,2,022577,Розничная реализация,18,1261,ТРИХОПОЛ 250МГ. №20 ТАБ. /ПОЛЬФАРМА/,ГРАНД КАПИТАЛ СМОЛЕНСК ООО ФК,Польфарма Фармацевтический завод С.А.,1.0,67.94,85.0,4.0,9.0,200010001947.0,205,1,2.0
2022-08-11,10:52:52,2177,2004598,2,022577,Розничная реализация,18,2566,НОРВАСК 5МГ. №30 ТАБ. /ПФАЙЗЕР/АПДЖОН/,Катрен г.Химки,PFIZER,1.0,157.76,189.0,9.0,9.0,200010013331.0,205,1,3.0
2022-08-11,10:52:52,2177,2004598,2,022577,Розничная реализация,18,2566,НОРВАСК 5МГ. №30 ТАБ. /ПФАЙЗЕР/АПДЖОН/,Катрен г.Химки,PFIZER,1.0,159.4,191.0,9.0,9.0,200010013331.0,205,1,4.0
2022-08-11,10:52:52,2177,2004598,2,022577,Розничная реализация,18,5155,СОТАГЕКСАЛ 80МГ. №20 ТАБ. /ГЕКСАЛ АГ/,Катрен г.Химки,SALUTAS PHARMA GMBH FOR ESPARM ( САЛЮТАС ),1.0,71.97,90.0,4.0,9.0,200010013331.0,205,1,5.0
