DR_Dat,DR_Tim,DR_NChk,DR_NDoc,DR_Apt,DR_Kkm,DR_TDoc,DR_TPay,DR_CDrugs,DR_NDrugs,DR_Suppl,DR_Prod,DR_Kol,DR_CZak,DR_CRoz,DR_SDisc,DR_CDisc,DR_BCDisc,DR_TabEmpl,DR_VZak,DR_Pos
2022-08-01,08:06:18,1272,13002561,13,022589,Розничная реализация,18,144734,ГАСТАЛ №12 ТАБ. Д/РАСС.,Пульс,TEVA Pharvaceutical Industries Ltd,1.0,196.71,270.0,0.0,NULL,NULL,29,1,1.0
2022-08-01,08:38:53,1273,13002561,13,022589,Розничная реализация,15,69661,"ТОБРОПТ 0,3% 5МЛ. №1 ГЛ.КАПЛИ ФЛ./КАП. /РОМФАРМ/",Пульс,РОМФАРМ КОМПАНИ ( ROMPHARM ),1.0,106.21,127.0,6.0,9.0,200010004357.0,29,1,1.0
2022-08-01,08:55:38,1274,13002561,13,022589,Розничная реализация,18,190635,ЭЛИКВИС 5МГ. №60 ТАБ. П/П/О /ПФАЙЗЕР/БРИСТОЛ-МАЙЕРС/,ГРАНД КАПИТАЛ СМОЛЕНСК ООО ФК,Пфайзер,1.0,2320.99,2563.0,76.0,9.0,200010018491.0,29,1,1.0
2022-08-01,09:00:40,1275,13002561,13,022589,Розничная реализация,18,276370,АРБИДОЛ МАКСИМУМ 200МГ. №10 КАПС. /ОТИСИФАРМ/ФАРМСТАНДАРТ/,Пульс,ОТИСИФАРМ ПАО,1.0,445.39,541.0,0.0,NULL,NULL,29,1,1.0
2022-08-01,09:04:05,1276,13002561,13,022589,Розничная реализация,15,2303,"ЭНАМ 2,5МГ. №20 ТАБ. /Д-Р РЕДДИ/",Протек,Д-р Редди с Лабораторис Лтд / Dr.REDDY's,1.0,18.04,22.0,1.0,9.0,200010000734.0,29,1,5.0
2022-08-01,09:04:05,1276,13002561,13,022589,Розничная реализация,15,2303,"ЭНАМ 2,5МГ. №20 ТАБ. /Д-Р РЕДДИ/",Протек,Д-р Редди с Лабораторис Лтд / Dr.REDDY's,1.0,18.04,22.0,1.0,9.0,200010000734.0,29,1,6.0
2022-08-01,09:04:05,1276,13002561,13,022589,Розничная реализация,15,338588,КЛОПИДОГРЕЛ-СЗ 75МГ. №28 ТАБ. П/П/О /СЕВЕРНАЯ ЗВЕЗДА/,Пульс,Северная Звезда,1.0,383.7,475.0,23.0,9.0,200010000734.0,29,1,3.0
2022-08-01,09:04:05,1276,13002561,13,022589,Розничная реализация,15,397616,"КО-ВАМЛОСЕТ 5МГ.+160МГ.+12,5МГ. №30 ТАБ. П/П/О",Протек,КРКА-Рус ООО (KRKA ),1.0,536.82,693.0,48.0,9.0,200010000734.0,29,1,4.0
2022-08-01,09:04:05,1276,13002561,13,022589,Розничная реализация,15,338492,АТОРВАСТАТИН-СЗ 20МГ. №60 ТАБ. П/П/О /СЕВЕРНАЯ ЗВЕЗДА/,Протек,Северная Звезда,1.0,334.29,418.0,20.0,9.0,200010000734.0,29,1,1.0
2022-08-01,09:04:05,1276,13002561,13,022589,Розничная реализация,15,338479,АТОРВАСТАТИН-СЗ 40МГ. №30 ТАБ. П/П/О /СЕВЕРНАЯ ЗВЕЗДА/,Пульс,Северная Звезда,1.0,282.52,340.0,17.0,9.0,200010000734.0,29,1,2.0
